State,Docket,Date
TX,50031,
TX,50036,
TX,50037,
TX,50055,
TX,50090,
TX,50133,
TX,50204,
TX,50205,
TX,50290,
TX,50291,
TX,50294,
TX,50295,
TX,50300,
TX,50302,
TX,50670,
TX,50714,
TX,50731,
TX,50733,
TX,50734,
TX,50786,
TX,50803,
TX,50804,
TX,50805,
TX,50806,
TX,50883,
TX,50888,
TX,50890,
TX,50891,
TX,50892,
TX,50894,
FL,20110138,
FL,20120015,
FL,20130040,
FL,20130140,
FL,20140002,
FL,20160021,
FL,20160186,
TX,39896,
TX,40443,
TX,44941,
TX,43695,
TX,46471,
CA,R1408013,
CA,R1503011,
CA,A1308004,
CA,A1110002,
CA,A1106007,
CA,A1605001,
CA,A1604018,
CA,A1604001,
CA,A1304012,
CA,A1212002,
CA,R1410010,
